Price per m2 (dollars);LCI
14,352;0,621906106
5,149;0,621906106
15,87;0,741711926
6,709;0,642756898
5,601;0,642756898
6,055;0,642756898
5,658;0,642756898
42,347;0,642756898
34,796;0,642756898
34,796;0,642756898
6,257;0,642756898
20,378;0,642756898
18,259;0,642756898
33,949;0,642756898
32,009;0,642756898
34,796;0,642756898
30,298;0,642756898
5,965;0,583034394
6,825;0,583034394
7,161;0,583034394
2,395;0,583034394
5,534;0,583034394
6,585;0,583034394
4,121;0,583034394
6,415;0,583034394
18,961;0,583034394
9,655;0,584699612
2,982;0,584699612
6,833;0,584699612
7,062;0,584699612
0,951;0,584699612
3;0,584699612
6,114;0,604467296
8,611;0,604467296
6,011;0,604467296
8,779;0,564740784
2;0,564740784
2;0,564740784
2,83;0,564740784
6,222;0,615868112
15,171;0,615868112
5,964;0,615868112
15,642;0,615868112
3,059;0,615868112
1,988;0,615868112
7,84;0,632715633
7,569;0,632715633
8,61;0,632715633
7,914;0,632715633
7,764;0,632715633
5,749;0,571361257
21,752;0,643642411
19,411;0,643642411
14,093;0,643642411
16,423;0,643642411
6,445;0,643642411
6,468;0,643642411
22,347;0,643642411
7,937;0,670653003
2,961;0,670653003
44,637;0,670653003
6,192;0,670653003
7,919;0,670653003
5,963;0,604278207
14,759;0,604278207
9,67;0,604278207
56,193;0,604278207
15,203;0,643642411
15,974;0,643642411
15,026;0,575195638
8,576;0,575195638
8;0,575195638
11,926;0,604066709
7,009;0,604066709
7,723;0,604066709
2,995;0,604066709
12,698;0,638625618
9,745;0,638625618
8,332;0,659209133
11,419;0,659209133
15,666;0,604278207
6,685;0,604278207
11,771;0,638625618
18,779;0,638625618
19,174;0,638625618
16,192;0,678613118
12,757;0,678613118
5,965;0,678613118
65,529;0,678613118
0,041;0,678613118
14,341;0,686276545
6,069;0,686276545
14,241;0,686276545
8,043;0,686276545
9,743;0,686276545
7,952;0,686276545
14,299;0,686276545
14,356;0,686276545
25,97;0,686276545
14,531;0,686276545
6,146;0,686276545
14,93;0,686276545
7,955;0,686276545
13,907;0,686276545
14,415;0,686276545
14,356;0,686276545
63,699;0,686276545
12,155;0,695881439
57,638;0,695881439
12,452;0,653557489
345,813;0,653557489
13,378;0,653557489
64,516;0,653557489
15,556;0,598965593
6,288;0,638625618
284,788;0,793421091
73,635;0,793421091
75,011;0,793421091
83,123;0,793421091
74,872;0,793421091
97,695;0,793421091
178,9;0,793421091
66,936;0,793421091
79,998;0,793421091
47,746;0,719407224
39,324;0,719407224
38,793;0,604278207
37,218;0,604278207
9,598;0,604278207
11,548;0,604278207
63,519;0,681206804
43,217;0,681206804
19,933;0,692055485
15,535;0,692055485
21,486;0,692055485
28,548;0,692055485
38,824;0,692055485
40,59;0,692055485
40,587;0,692055485
42,043;0,692055485
36,737;0,692055485
5,839;0,678613118
5,967;0,678613118
87,876;0,699210977
17,884;0,699210977
